category,headline,links,short_description,keywords,category_encoded,input_text
WORLD NEWS,"['let', 'make', 'decision', 'good', 'decision', 'make']",https://www.huffingtonpost.comhttp://singularityhub.com/2016/09/11/will-letting-ai-make-our-decisions-be-the-best-decision-we-make/,"['confess', 'write', 'intermittently', 'procrastinate', 'browse', 'overwhelming', 'number', 'wireless', 'headphone']","['dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'the', 'ultimate', 'holiday', 'gift', 'candy', 'dessert', 'recipes', 'nic', 'cage', 'superman', 'footage', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'the', 'ultimate', 'holiday', 'gift', 'candy', 'dessert', 'recipes', 'nic', 'cage', 'superman', 'footage', 'jungle', 'book', 'continues', 'to', 'rule', 'the', 'box', 'office', 'as', 'mothers', 'day', 'fails', 'to', 'impress', 'this', 'is', 'what', 'democracy', 'looks', 'like', 'andrew', 'blackwell', 'visits', 'the', 'worlds', 'most', 'polluted', 'places']",9,"['let', 'make', 'decision', 'good', 'decision', 'make', 'confess', 'write', 'intermittently', 'procrastinate', 'browse', 'overwhelming', 'number', 'wireless', 'headphone', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'the', 'ultimate', 'holiday', 'gift', 'candy', 'dessert', 'recipes', 'nic', 'cage', 'superman', 'footage', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'the', 'ultimate', 'holiday', 'gift', 'candy', 'dessert', 'recipes', 'nic', 'cage', 'superman', 'footage', 'jungle', 'book', 'continues', 'to', 'rule', 'the', 'box', 'office', 'as', 'mothers', 'day', 'fails', 'to', 'impress', 'this', 'is', 'what', 'democracy', 'looks', 'like', 'andrew', 'blackwell', 'visits', 'the', 'worlds', 'most', 'polluted', 'places']"
POLITICS,"['wish', 'obama', 'part', 'shot']",https://www.huffingtonpost.com/entry/my-wishes-for-obamas-parting-shots_us_586535a9e4b0d9a5945a6c16,"['wane', 'day', 'administration', 'i', 'd', 'recommend', 'obama', 'make', 'last', 'stand']","['my', 'wishes', 'for', 'obamas', 'parting', 'shots']",4,"['wish', 'obama', 'part', 'shot', 'wane', 'day', 'administration', 'i', 'd', 'recommend', 'obama', 'make', 'last', 'stand', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots']"
WELLNESS,"['do', 'chase', 'anything', 'do', 'want', 'catch']",https://www.huffingtonpost.com/entry/dont-chase-anything-you-d_us_5b9df1bae4b03a1dcc8f4198,"['many', 'people', 'include', 'pursue', 'happiness', 'pleasure', 'place', 'know', 'find', 'tempt', 'seek', 'comfort', 'material', 'thing', 'indulge', 'pursue', 'appetite', 'satisfaction', 'flesh']","['do', 'nt', 'chase', 'anything', 'you', 'd']",8,"['do', 'chase', 'anything', 'do', 'want', 'catch', 'many', 'people', 'include', 'pursue', 'happiness', 'pleasure', 'place', 'know', 'find', 'tempt', 'seek', 'comfort', 'material', 'thing', 'indulge', 'pursue', 'appetite', 'satisfaction', 'flesh', 'do', 'nt', 'chase', 'anything', 'you', 'd']"
TRAVEL,"['travel', 'reward', 'program', 'right']",https://www.huffingtonpost.com/entry/which-travel-rewards-prog_us_5b9d5cdbe4b03a1dcc8710d7,"['help', 'figure', 'program', 'right', 'evaluate', 'frequent', 'flyer', 'hotel', 'loyalty', 'program', 'base', 'great', 'perk', 'easy', 'use']","['which', 'travel', 'rewards', 'prog']",7,"['travel', 'reward', 'program', 'right', 'help', 'figure', 'program', 'right', 'evaluate', 'frequent', 'flyer', 'hotel', 'loyalty', 'program', 'base', 'great', 'perk', 'easy', 'use', 'which', 'travel', 'rewards', 'prog']"
PARENTING,"['child', 'book', 'help', 'little', 'one', 'count', 'day', 'christmas']",https://www.huffingtonpost.com/entry/24-childrens-books-to-hel_us_5b9db09ee4b03a1dcc8b8841,"['little', 'one', 'eagerly', 'await', 'arrival', 'santa', 'claus', 'day', 'december', 'measure', 'countdown', 'magic', 'christmas', 'morning', 'well', 'way', 'let', 'excitement', 'build', 'read', 'special', 'holiday', 'story', 'every', 'night']","['24', 'childrens', 'books', 'to', 'hel']",3,"['child', 'book', 'help', 'little', 'one', 'count', 'day', 'christmas', 'little', 'one', 'eagerly', 'await', 'arrival', 'santa', 'claus', 'day', 'december', 'measure', 'countdown', 'magic', 'christmas', 'morning', 'well', 'way', 'let', 'excitement', 'build', 'read', 'special', 'holiday', 'story', 'every', 'night', '24', 'childrens', 'books', 'to', 'hel']"
TRAVEL,"['ultimate', 'holiday', 'gift', 'guide', 'cool', 'road', 'rip', 'gadget']",https://www.huffingtonpost.com/entry/the-ultimate-holiday-gift_us_5b9dbb75e4b03a1dcc8c2ac8,"['whether', 'struggle', 'find', 'road', 'warrior', 'perfect', 'gift', 'ponder', 'snag', 'return', 'crappy', 'one', 'guide', 'cool', 'stuff', 'love', 'open', 'road']","['the', 'ultimate', 'holiday', 'gift']",7,"['ultimate', 'holiday', 'gift', 'guide', 'cool', 'road', 'rip', 'gadget', 'whether', 'struggle', 'find', 'road', 'warrior', 'perfect', 'gift', 'ponder', 'snag', 'return', 'crappy', 'one', 'guide', 'cool', 'stuff', 'love', 'open', 'road', 'the', 'ultimate', 'holiday', 'gift']"
FOOD & DRINK,"['candy', 'dessert', 'recipe', 'prove', 'never', 'much', 'good', 'thing', 'photo']",https://www.huffingtonpost.com/entry/candy-dessert-recipes_us_5b9bd300e4b03a1dcc7a8a62,"['think', 'never', 'much', 'good', 'thing']","['candy', 'dessert', 'recipes']",2,"['candy', 'dessert', 'recipe', 'prove', 'never', 'much', 'good', 'thing', 'photo', 'think', 'never', 'much', 'good', 'thing', 'candy', 'dessert', 'recipes']"
ENTERTAINMENT,"['here', 'nice', 'cage', 'would', 'look', 'like', 'tim', 'button', 'superman']",https://www.huffingtonpost.com/entry/nic-cage-superman-footage_us_559a702de4b0a0dabdcf9702,"['need', 'nicolas', 'cage', 'meme', 'get', 'real', 'thing', 'back', 'cage', 'team', 'tim', 'burton', 'superman']","['nic', 'cage', 'superman', 'footage']",1,"['here', 'nice', 'cage', 'would', 'look', 'like', 'tim', 'button', 'superman', 'need', 'nicolas', 'cage', 'meme', 'get', 'real', 'thing', 'back', 'cage', 'team', 'tim', 'burton', 'superman', 'nic', 'cage', 'superman', 'footage']"
ENTERTAINMENT,"['jungle', 'book', 'continue', 'rule', 'box', 'office', 'mother', 'day', 'fail', 'impress']",https://www.huffingtonpost.com/entry/jungle-book-continues-to-rule-the-box-office-as-mothers-day-fails-to-impress_us_5726468ee4b0f309baf12a29,"['stop', 'disney', 'live', 'action', 'remake']","['jungle', 'book', 'continues', 'to', 'rule', 'the', 'box', 'office', 'as', 'mothers', 'day', 'fails', 'to', 'impress']",1,"['jungle', 'book', 'continue', 'rule', 'box', 'office', 'mother', 'day', 'fail', 'impress', 'stop', 'disney', 'live', 'action', 'remake', 'jungle', 'book', 'continues', 'to', 'rule', 'the', 'box', 'office', 'as', 'mothers', 'day', 'fails', 'to', 'impress']"
POLITICS,"['democracy', 'look', 'like']",https://www.huffingtonpost.com/entry/this-is-what-democracy-looks-like_us_585982a8e4b0630a25423624,"['keep', 'going', 'do', 'give', 'push', 'forward', 'what', 's', 'right', 'resist', 'fascism', 'change', 'stand', 'together', 'fight', 'injustice']","['this', 'is', 'what', 'democracy', 'looks', 'like']",4,"['democracy', 'look', 'like', 'keep', 'going', 'do', 'give', 'push', 'forward', 'what', 's', 'right', 'resist', 'fascism', 'change', 'stand', 'together', 'fight', 'injustice', 'this', 'is', 'what', 'democracy', 'looks', 'like']"
TRAVEL,"['andrew', 'blackwell', 'filmmaker', 'journalist', 'visit', 'world', 'polluted', 'place', 'video']",https://www.huffingtonpost.com/entry/andrew-blackwell-visits-the-worlds-most-polluted-places_us_5b9bcc31e4b03a1dcc7a542f,"['far', 'know', 'he', 's', 'world', 'first', 'pollution', 'tourist', 'kind', 'like', 'spin', 'ecotourism']","['andrew', 'blackwell', 'visits', 'the', 'worlds', 'most', 'polluted', 'places']",7,"['andrew', 'blackwell', 'filmmaker', 'journalist', 'visit', 'world', 'polluted', 'place', 'video', 'far', 'know', 'he', 's', 'world', 'first', 'pollution', 'tourist', 'kind', 'like', 'spin', 'ecotourism', 'andrew', 'blackwell', 'visits', 'the', 'worlds', 'most', 'polluted', 'places']"
WELLNESS,"['karma', 'love', 'part']",https://www.huffingtonpost.com/entry/karma-love_us_5b9caba2e4b03a1dcc80bc97,"['karma', 'complicated', 'mysterious', 'point', 'rarely', 'understand', 'exactly', 'do', 'difficult', 'situation', 'occur', 'life']","['karma', 'love']",8,"['karma', 'love', 'part', 'karma', 'complicated', 'mysterious', 'point', 'rarely', 'understand', 'exactly', 'do', 'difficult', 'situation', 'occur', 'life', 'karma', 'love']"
TRAVEL,"['little', 'skin', 'lot', 'moustache', 'polka']",https://www.huffingtonpost.com/entry/kolkata-saturday-night-at_us_5b9bb225e4b03a1dcc79a7a2,"['alpha', 'moustache', 'belong', 'ringleader', 'twisted', 'display', 'flesh', 'denim', 'synthesizer', 'onstage']","['kolkata', 'saturday', 'night', 'at']",7,"['little', 'skin', 'lot', 'moustache', 'polka', 'alpha', 'moustache', 'belong', 'ringleader', 'twisted', 'display', 'flesh', 'denim', 'synthesizer', 'onstage', 'kolkata', 'saturday', 'night', 'at']"
ENTERTAINMENT,"['kate', 'hudson', 'respond', 'anthony', 'sara', 'gucci', 'resignation', 'perfect', 'meme']",https://www.huffingtonpost.com/entry/kate-hudson-scaramucci-instagram_us_597f909ae4b00bb8ff38bdb0,"['lose', 'communication', 'director', 'day']","['kate', 'hudson', 'scaramucci', 'instagram']",1,"['kate', 'hudson', 'respond', 'anthony', 'sara', 'gucci', 'resignation', 'perfect', 'meme', 'lose', 'communication', 'director', 'day', 'kate', 'hudson', 'scaramucci', 'instagram']"
PARENTING,"['wave', 'santa']",https://www.huffingtonpost.com/entry/fear-of-santa_us_5b9c9ab7e4b03a1dcc803aeb,"['snow', 'reflect', 'moonlight', 'string', 'icicle', 'light', 'admire', 'fleet', 'beauty', 'neighbourhood', 'son', 'contemplate', 'flip', 'side', 'age', 'old', 'childhood', 'quandary', 'santa', 'know', 'come']","['fear', 'of', 'santa']",3,"['wave', 'santa', 'snow', 'reflect', 'moonlight', 'string', 'icicle', 'light', 'admire', 'fleet', 'beauty', 'neighbourhood', 'son', 'contemplate', 'flip', 'side', 'age', 'old', 'childhood', 'quandary', 'santa', 'know', 'come', 'fear', 'of', 'santa']"
BUSINESS,"['create', 'structured', 'repeatable', 'process', 'innovation']",https://www.huffingtonpost.com/entry/creating-a-structured-rep_b_7435784.html,"['establish', 'company', 'easily', 'reinvent', 'history', 'show', 'we', 'innovation', 'often', 'strategy', 'startup', 'important', 'get', 'top', 'innovation', 'necessary', 'order', 'stay', 'top']","['creating', 'a', 'structured', 'rep']",0,"['create', 'structured', 'repeatable', 'process', 'innovation', 'establish', 'company', 'easily', 'reinvent', 'history', 'show', 'we', 'innovation', 'often', 'strategy', 'startup', 'important', 'get', 'top', 'innovation', 'necessary', 'order', 'stay', 'top', 'creating', 'a', 'structured', 'rep']"
